--- Pendolo di torsione ---
Tempo,Forzante,Pendolo
4,380	-20,065	-0,005
4,400	-21,814	-0,032
4,420	-23,273	0,001
4,440	-24,341	-0,021
4,460	-25,040	0,008
4,480	-25,383	-0,010
4,500	-25,405	0,016
4,520	-24,996	-0,005
4,540	-24,249	0,024
4,560	-23,142	0,000
4,580	-21,687	0,030
4,600	-19,929	0,009
4,620	-17,846	0,040
4,640	-15,517	0,014
4,660	-12,955	0,046
4,680	-10,204	0,021
4,700	-7,299	0,045
4,720	-4,267	0,024
4,740	-1,187	0,050
4,760	1,898	0,020
4,780	4,961	0,050
4,800	7,945	0,022
4,820	10,833	0,047
4,840	13,570	0,020
4,860	16,080	0,045
4,880	18,387	0,016
4,900	20,399	0,036
4,920	22,126	0,012
4,940	23,511	0,028
4,960	24,570	0,005
4,980	25,269	0,024
5,000	25,603	-0,005
5,020	25,563	0,015
5,040	25,159	-0,013
5,060	24,381	0,004
5,080	23,251	-0,018
5,100	21,797	-0,006
5,120	20,021	-0,030
5,140	17,934	-0,013
5,160	15,596	-0,035
5,180	13,039	-0,023
5,200	10,270	-0,041
5,220	7,370	-0,028
5,240	4,381	-0,044
5,260	1,305	-0,030
5,280	-1,775	-0,047
5,300	-4,843	-0,034
5,320	-7,857	-0,042
5,340	-10,714	-0,033
5,360	-13,403	-0,037
5,380	-15,957	-0,031
5,400	-18,246	-0,032
5,420	-20,237	-0,023
5,440	-21,951	-0,023
5,460	-23,379	-0,013
5,480	-24,407	-0,016
5,500	-25,119	-0,005
5,520	-25,396	-0,003
5,540	-25,370	0,003
5,560	-24,935	0,009
5,580	-24,170	0,016
5,600	-23,027	0,016
5,620	-21,542	0,024
5,640	-19,723	0,024
5,660	-17,662	0,035
5,680	-15,284	0,033
5,700	-12,718	0,040
5,720	-9,936	0,040
5,740	-7,031	0,047
5,760	-4,008	0,049
5,780	-0,932	0,049
5,800	2,162	0,049
5,820	5,216	0,049
5,840	8,200	0,046
5,860	11,079	0,049
5,880	13,777	0,041
5,900	16,286	0,043
5,920	18,584	0,038
5,940	20,562	0,033
5,960	22,250	0,028
5,980	23,607	0,023
6,000	24,640	0,016
6,020	25,317	0,012
6,040	25,611	0,003
6,060	25,545	0,001
6,080	25,093	-0,006
6,100	24,302	-0,011
6,120	23,146	-0,022
6,140	21,665	-0,024
6,160	19,859	-0,030
6,180	17,736	-0,036
6,200	15,381	-0,038
6,220	12,806	-0,047
6,240	10,024	-0,047
6,260	7,124	-0,051
6,280	4,104	-0,051
6,300	1,046	-0,054
6,320	-2,043	-0,049
6,340	-5,098	-0,051
6,360	-8,090	-0,047
6,380	-10,960	-0,047
6,400	-13,632	-0,041
6,420	-16,141	-0,042
6,440	-18,404	-0,033
6,460	-20,373	-0,031
6,480	-22,074	-0,022
6,500	-23,462	-0,020
6,520	-24,451	-0,013
6,540	-25,115	-0,006
6,560	-25,374	0,003
6,580	-25,326	0,007
6,600	-24,882	0,016
6,620	-24,073	0,020
6,640	-22,900	0,029
6,660	-21,384	0,032
6,680	-19,551	0,039
6,700	-17,442	0,043
6,720	-15,064	0,049
6,740	-12,480	0,049
6,760	-9,690	0,055
6,780	-6,785	0,054
6,800	-3,740	0,060
6,820	-0,668	0,053
6,840	2,426	0,059
6,860	5,471	0,053
6,880	8,446	0,057
6,900	11,303	0,049
6,920	14,005	0,053
6,940	16,488	0,042
6,960	18,760	0,046
6,980	20,707	0,032
7,000	22,373	0,033
7,020	23,713	0,016
7,040	24,710	0,023
7,060	25,348	0,003
7,080	25,629	0,012
7,100	25,519	-0,008
7,120	25,040	-0,005
7,140	24,214	-0,026
7,160	23,027	-0,021
7,180	21,533	-0,040
7,200	19,687	-0,032
7,220	17,565	-0,055
7,240	15,179	-0,042
7,260	12,586	-0,062
7,280	9,800	-0,048
7,300	6,877	-0,067
7,320	3,867	-0,054
7,340	0,791	-0,066
7,360	-2,290	-0,051
7,380	-5,335	-0,066
7,400	-8,319	-0,051
7,420	-11,158	-0,062
7,440	-13,847	-0,046
7,460	-16,334	-0,052
7,480	-18,576	-0,033
7,500	-20,514	-0,040
7,520	-22,214	-0,022
7,540	-23,542	-0,022
7,560	-24,535	-0,009
7,580	-25,159	-0,007
7,600	-25,387	0,003
7,620	-25,299	0,008
7,640	-24,855	0,022
7,660	-23,977	0,025
7,680	-22,790	0,036
7,700	-21,226	0,040
7,720	-19,402	0,049
7,740	-17,266	0,053
7,760	-14,858	0,056
7,780	-12,256	0,064
7,800	-9,470	0,062
7,820	-6,530	0,068
7,840	-3,502	0,067
7,860	-0,422	0,069
7,880	2,676	0,065
7,900	5,713	0,066
7,920	8,675	0,061
7,940	11,540	0,060
7,960	14,208	0,053
7,980	16,682	0,054
8,000	18,923	0,043
8,020	20,856	0,039
8,040	22,509	0,028
8,060	23,810	0,025
8,080	24,785	0,015
8,100	25,383	0,009
8,120	25,638	-0,003
8,140	25,493	-0,010
8,160	24,987	-0,020
8,180	24,135	-0,025
8,200	22,904	-0,034
8,220	21,393	-0,042
8,240	19,534	-0,050
8,260	17,367	-0,053
8,280	14,968	-0,059
8,300	12,362	-0,060
8,320	9,562	-0,066
8,340	6,645	-0,067
8,360	3,612	-0,067
8,380	0,549	-0,070
8,400	-2,553	-0,068
8,420	-5,594	-0,068
8,440	-8,547	-0,063
8,460	-11,391	-0,059
8,480	-14,067	-0,058
8,500	-16,541	-0,050
8,520	-18,738	-0,043
8,540	-20,676	-0,038
8,560	-22,333	-0,028
8,580	-23,665	-0,017
8,600	-24,596	-0,010
8,620	-25,203	-0,001
8,640	-25,414	0,003
8,660	-25,299	0,016
8,680	-24,820	0,022
8,700	-23,946	0,032
8,720	-22,724	0,036
8,740	-21,142	0,049
8,760	-19,270	0,051
8,780	-17,121	0,061
8,800	-14,691	0,063
8,820	-12,076	0,069
8,840	-9,255	0,067
8,860	-6,315	0,076
8,880	-3,252	0,069
8,900	-0,171	0,082
8,920	2,931	0,075
8,940	5,968	0,078
8,960	8,925	0,068
8,980	11,769	0,071
9,000	14,418	0,060
9,020	16,884	0,061
9,040	19,112	0,045
9,060	21,006	0,047
9,080	22,627	0,028
9,100	23,911	0,031
9,120	24,851	0,010
9,140	25,422	0,015
9,160	25,633	-0,009
9,180	25,475	-0,005
9,200	24,935	-0,029
9,220	24,051	-0,025
9,240	22,799	-0,050
9,260	21,243	-0,042
9,280	19,345	-0,063
9,300	17,178	-0,055
9,320	14,766	-0,076
9,340	12,129	-0,067
9,360	9,316	-0,085
9,380	6,381	-0,074
9,400	3,357	-0,090
9,420	0,277	-0,077
9,440	-2,808	-0,085
9,460	-5,858	-0,070
9,480	-8,833	-0,082
9,500	-11,654	-0,065
9,520	-14,287	-0,074
9,540	-16,761	-0,047
9,560	-18,954	-0,054
9,580	-20,874	-0,030
9,600	-22,509	-0,038
9,620	-23,774	-0,013
9,640	-24,697	-0,017
9,660	-25,255	0,011
9,680	-25,453	0,004
9,700	-25,269	0,027
9,720	-24,737	0,022
9,740	-23,832	0,049
9,760	-22,557	0,042
9,780	-20,979	0,062
9,800	-19,077	0,058
9,820	-16,897	0,075
9,840	-14,423	0,068
9,860	-11,804	0,090
9,880	-8,974	0,078
9,900	-6,021	0,090
9,920	-2,971	0,084
9,940	0,114	0,093
